,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.87,341.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.87,341.87,341.87,341.87,341.87,341.87,341.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.87,341.87,341.87,341.87,341.87,341.87,341.87,341.87,341.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
